Species	AverageGrantham	KnKs	DnDs	GenerationLength_d	family.x	FractionOfNonsyn	FractionOfSyn	Gene	MedianOfAllNonsyn	MedianOfAllSyn	Order	SummOfAllGrantham	specieOrder	family.y	category	CategoryPoisson	CategoryBinomial
Loris tardigradus	61.8666666666666	0.5	0.096555768590933	2278.1475	Lorisidae	0.333333333333333	0.666666666666667	CytB	2	3	Primates	194	PRIMATES	LORISIDAE	EN	2	1
Loxodonta africana	66	0.275	0.110567193361648	9125	Elephantidae	0.215686274509804	0.784313725490196	CytB	9	38	Proboscidea	531	PROBOSCIDEA	ELEPHANTIDAE	VU	1	0
Lutra lutra	81	0	0.0869432092475222	2772.962083343	Mustelidae	0.0769230769230769	0.923076923076923	CytB	1	9	Carnivora	64	CARNIVORA	MUSTELIDAE	LC	0	0
Lutrogale perspicillata	42	0.173913043478261	0.0665758026709925	3650	Mustelidae	0.148148148148148	0.851851851851852	CytB	1	6	Carnivora	21	CARNIVORA	MUSTELIDAE	VU	1	0
Macaca fascicularis	52.6142857142857	0.194444444444444	0.139790853824364	5076.8362	Cercopithecidae	0.162790697674419	0.837209302325581	CytB	6	36	Primates	360	PRIMATES	CERCOPITHECIDAE	LC	0	0
Macaca nemestrina	53.2526737967915	0.363636363636364	0.152439272562858	4015	Cercopithecidae	0.266666666666667	0.733333333333333	CytB	14	44	Primates	605	PRIMATES	CERCOPITHECIDAE	VU	1	0
Marmosops caucae	51.95	0.0728172499116296	0.0274506012480157	NA	NA	0.0681818181818182	0.931818181818182	CytB	5	61	NA	262	DIDELPHIMORPHIA	DIDELPHIDAE	LC	0	0
Marmosops noctivagus	39.75	0.038961038961039	0.0118209878667044	642.840025	Didelphidae	0.0375	0.9625	CytB	2	67	Didelphimorphia	92	DIDELPHIMORPHIA	DIDELPHIDAE	LC	0	0
Martes americana	61.4	0.230769230769231	0.0373277731136165	2227.96	Mustelidae	0.193548387096774	0.806451612903226	CytB	4	23	Carnivora	251	CARNIVORA	MUSTELIDAE	LC	0	0
Martes melampus	29.3333333333333	0	0.0347460746176161	1772.805	Mustelidae	0	1	CytB	0	5	Carnivora	0	CARNIVORA	MUSTELIDAE	LC	0	0
Martes zibellina	51.8571428571428	0.384615384615385	0.0328950305318772	2087.381433343	Mustelidae	0.277777777777778	0.722222222222222	CytB	3	11	Carnivora	187	CARNIVORA	MUSTELIDAE	LC	0	0
Megaloglossus woermanni	61.6666666666667	0.236111111111111	0.0477626400085728	1553.79087272727	Pteropodidae	0.2	0.8	CytB	2	9	Chiroptera	127	CHIROPTERA	PTEROPODIDAE	LC	0	0
Meles meles	49.3125	0.225352112676056	0.0337299231160001	2161.2481	Mustelidae	0.183908045977011	0.816091954022989	CytB	8	45	Carnivora	446	CARNIVORA	MUSTELIDAE	LC	0	0
Meriones libycus	57	0.552777777777778	0.24029310961474	649.48035	Muridae	0.357142857142857	0.642857142857143	CytB	3	9	Rodentia	170	RODENTIA	MURIDAE	LC	0	0
Meriones meridianus	40.9513888888889	0.09	0.0299235691914763	608.148016666667	Muridae	0.0825688073394495	0.917431192660551	CytB	7	88	Rodentia	295	RODENTIA	MURIDAE	LC	0	0
Meriones tamariscinus	58	0.0555555555555556	0.0175172354244823	608.148016666667	Muridae	0.0526315789473684	0.947368421052632	CytB	1	27	Rodentia	81	RODENTIA	MURIDAE	LC	0	0
Microcebus griseorufus	45	0.25	0.0416395116064173	2053.5145	Cheirogaleidae	0.2	0.8	CytB	1	5	Primates	58	PRIMATES	CHEIROGALEIDAE	LC	0	0
Microcebus lehilahytsara	51.5	0.0588235294117647	0.0504088957970389	2053.5145	Cheirogaleidae	0.0555555555555556	0.944444444444444	CytB	1	13	Primates	21	PRIMATES	CHEIROGALEIDAE	VU	1	0
Microcebus mittermeieri	106.5	0.11437908496732	0.0473200514627288	2053.5145	Cheirogaleidae	0.105263157894737	0.894736842105263	CytB	1	13	Primates	155	PRIMATES	CHEIROGALEIDAE	EN	2	1
Microcebus murinus	51.125	0.204166666666667	0.061141306748131	2053.5145	Cheirogaleidae	0.172413793103448	0.827586206896552	CytB	3	20	Primates	142	PRIMATES	CHEIROGALEIDAE	LC	0	0
Microcebus myoxinus	54	0.333333333333333	0.18653382248515	2053.5145	Cheirogaleidae	0.258333333333333	0.741666666666667	CytB	3	8	Primates	162	PRIMATES	CHEIROGALEIDAE	VU	1	0
Microcebus rufus	49.8461538461538	0.0857142857142857	0.0509441923322549	2053.5145	Cheirogaleidae	0.0789473684210526	0.921052631578947	CytB	4	70	Primates	236	PRIMATES	CHEIROGALEIDAE	VU	1	0
Micromys minutus	22.5	0.230769230769231	0.0332230008361901	502.66	Muridae	0.2	0.8	CytB	2	11	Rodentia	64	RODENTIA	MURIDAE	LC	0	0
Micronycteris megalotis	50.375	0.087719298245614	0.0381548636560081	2064.27635	Phyllostomidae	0.0806451612903226	0.919354838709677	CytB	4	47	Chiroptera	174	CHIROPTERA	PHYLLOSTOMIDAE	LC	0	0
Micropteropus pusillus	46.8333333333333	0.0545454545454545	0.0510321024027865	1553.79087272727	Pteropodidae	0.0517241379310345	0.948275862068966	CytB	1	15	Chiroptera	104	CHIROPTERA	PTEROPODIDAE	LC	0	0
Microtus agrestis	33.1388888888889	0.140625	0.0214902233645968	465.9675	Cricetidae	0.123287671232877	0.876712328767123	CytB	5	37	Rodentia	157	RODENTIA	CRICETIDAE	LC	0	0
Microtus arvalis	63.75	0.0333333333333333	0.0256677315555403	447.605	Cricetidae	0.032258064516129	0.967741935483871	CytB	1	26	Rodentia	58	RODENTIA	CRICETIDAE	LC	0	0
Microtus limnophilus	44.25	0.285714285714286	0.0489985747339508	373.623802083937	Cricetidae	0.222222222222222	0.777777777777778	CytB	4	13	Rodentia	177	RODENTIA	CRICETIDAE	LC	0	0
Microtus longicaudus	21	0.0784615384615385	0.028518007663021	373.623802083937	Cricetidae	0.0740740740740741	0.925925925925926	CytB	1	19	Rodentia	36	RODENTIA	CRICETIDAE	LC	0	0
Microtus lusitanicus	21	0.111111111111111	0.0536986931965596	373.623802083937	Cricetidae	0.1	0.9	CytB	3	35	Rodentia	63	RODENTIA	CRICETIDAE	LC	0	0
Microtus miurus	21	0.0909090909090909	0.0246016684620349	373.623802083937	Cricetidae	0.0833333333333333	0.916666666666667	CytB	1	10	Rodentia	21	RODENTIA	CRICETIDAE	LC	0	0
Microtus subterraneus	49.3333333333333	0.05	0.0291714299013922	373.623802083937	Cricetidae	0.0476190476190476	0.952380952380952	CytB	2	41	Rodentia	100	RODENTIA	CRICETIDAE	LC	0	0
Miniopterus schreibersii	21	0.0647482014388489	0.0384270463060685	1995.6986	Vespertilionidae	0.0608108108108108	0.939189189189189	CytB	2	9	Chiroptera	42	CHIROPTERA	MINIOPTERIDAE	LC	0	0
Mogera imaizumii	27.75	0.0303030303030303	0.0203218099626239	759.185721428571	Talpidae	0.0294117647058824	0.970588235294118	CytB	1	32	Eulipotyphla	21	EULIPOTYPHLA	TALPIDAE	LC	0	0
Mogera robusta	51	0.142857142857143	0.0182673252378263	759.185721428571	Talpidae	0.142857142857143	0.857142857142857	CytB	1	3	Eulipotyphla	21	EULIPOTYPHLA	TALPIDAE	LC	0	0
Mogera wogura	45.6666666666667	0.102040816326531	0.0203895776545314	759.185721428571	Talpidae	0.0925925925925926	0.907407407407407	CytB	4	48	Eulipotyphla	193	EULIPOTYPHLA	TALPIDAE	LC	0	0
Monodelphis americana	32.3333333333333	0.0740740740740741	0.0189807824810314	717.0425	Didelphidae	0.0689655172413793	0.931034482758621	CytB	4	56.5	Didelphimorphia	149.5	DIDELPHIMORPHIA	DIDELPHIDAE	LC	0	0
Monodelphis domestica	49	0.113636363636364	0.0328573977288358	717.0425	Didelphidae	0.102040816326531	0.897959183673469	CytB	4	40	Didelphimorphia	187	DIDELPHIMORPHIA	DIDELPHIDAE	LC	0	0
Monodelphis glirina	48.6477272727273	0.120879120879121	0.0326757676056338	717.0425	Didelphidae	0.107843137254902	0.892156862745098	CytB	7	57	Didelphimorphia	302	DIDELPHIMORPHIA	DIDELPHIDAE	LC	0	0
Mungotictis decemlineata	34	0.181818181818182	0.0593293679230701	2146.94685	Eupleridae	0.15587044534413	0.84412955465587	CytB	1	6	Carnivora	43	CARNIVORA	EUPLERIDAE	EN	2	1
Mus caroli	43	0.0606060606060606	0.0154987588292589	628.295	Muridae	0.0571428571428571	0.942857142857143	CytB	2	25	Rodentia	79	RODENTIA	MURIDAE	LC	0	0
Mus minutoides	30.9666666666667	0.11864406779661	0.0346054942422651	435.665	Muridae	0.106060606060606	0.893939393939394	CytB	6	51	Rodentia	180	RODENTIA	MURIDAE	LC	0	0
Mus musculus	38.25	0.107142857142857	0.00963078387390671	628.295	Muridae	0.0967741935483871	0.903225806451613	CytB	2	22	Rodentia	100	RODENTIA	MURIDAE	LC	0	0
Mustela erminea	58	0.166666666666667	0.039914123350863	1078.777858343	Mustelidae	0.142857142857143	0.857142857142857	CytB	1	4	Carnivora	58	CARNIVORA	MUSTELIDAE	LC	0	0
Mustela frenata	39.5	0.230769230769231	0.0436512173926715	986.110483343	Mustelidae	0.1875	0.8125	CytB	2	11	Carnivora	99	CARNIVORA	MUSTELIDAE	LC	0	0
