Species	AverageGrantham	KnKs	DnDs	GenerationLength_d	family.x	FractionOfNonsyn	FractionOfSyn	Gene	MedianOfAllNonsyn	MedianOfAllSyn	Order	SummOfAllGrantham	specieOrder	family.y	category	CategoryPoisson	CategoryBinomial
Mustela nivalis	69.5	0	0.0384588411993092	1194.19395	Mustelidae	0	1	CytB	0	12	Carnivora	0	CARNIVORA	MUSTELIDAE	LC	0	0
Mustela sibirica	58.75	0.0910931174089069	0.047921291736597	1484.792222219	Mustelidae	0.0952380952380952	0.904761904761905	CytB	1	6	Carnivora	58	CARNIVORA	MUSTELIDAE	LC	0	0
Myodes glareolus	58	0.0833333333333333	0.0333177248998575	577.7512	Cricetidae	0.0769230769230769	0.923076923076923	CytB	1	10	Rodentia	58	RODENTIA	CRICETIDAE	LC	0	0
Myodes rufocanus	22	0	0	433.359922223833	Cricetidae	0	1	CytB	0	11	Rodentia	0	RODENTIA	CRICETIDAE	LC	0	0
Myodes rutilus	142	0.0303030303030303	0.0566460311577064	433.359922223833	Cricetidae	0.0294117647058824	0.970588235294118	CytB	1	26	Rodentia	81	RODENTIA	CRICETIDAE	LC	0	0
Myonycteris torquata	21	0	0.0375946750028304	1553.79087272727	Pteropodidae	0	1	CytB	0	8	Chiroptera	0	CHIROPTERA	PTEROPODIDAE	LC	0	0
Myotis albescens	34.5454545454545	0.142857142857143	0.0277794863441856	2106.62850416667	Vespertilionidae	0.131465517241379	0.868534482758621	CytB	5	24	Chiroptera	184	CHIROPTERA	VESPERTILIONIDAE	LC	0	0
Myotis aurascens	49.2833333333333	0.126666666666667	0.0382640025841947	2106.62850416667	Vespertilionidae	0.112426035502959	0.887573964497041	CytB	8	51	Chiroptera	365	CHIROPTERA	VESPERTILIONIDAE	LC	0	0
Myotis davidii	51	0.133333333333333	0.0203757812154491	2106.62850416667	Vespertilionidae	0.117647058823529	0.882352941176471	CytB	2	12	Chiroptera	67	CHIROPTERA	VESPERTILIONIDAE	LC	0	0
Myotis ikonnikovi	44.7142857142857	0.04	0.0223421537017303	2106.62850416667	Vespertilionidae	0.0384615384615385	0.961538461538462	CytB	1	22	Chiroptera	58	CHIROPTERA	VESPERTILIONIDAE	LC	0	0
Myotis macrodactylus	22	0.0416666666666667	0.00718197253237537	2106.62850416667	Vespertilionidae	0.0769230769230769	0.923076923076923	CytB	1	6	Chiroptera	21	CHIROPTERA	VESPERTILIONIDAE	LC	0	0
Myotis myotis	24	0.1	0.0571292502628406	2847	Vespertilionidae	0.0909090909090909	0.909090909090909	CytB	1	25	Chiroptera	36	CHIROPTERA	VESPERTILIONIDAE	LC	0	0
Myotis mystacinus	41.5	0.0833333333333333	0.0329160182155734	2864.16	Vespertilionidae	0.0769230769230769	0.923076923076923	CytB	3	36	Chiroptera	166	CHIROPTERA	VESPERTILIONIDAE	LC	0	0
Myotis nattereri	55.0952380952381	0.209876543209877	0.104102887371095	2106.62850416667	Vespertilionidae	0.175257731958763	0.824742268041237	CytB	13	75	Chiroptera	829	CHIROPTERA	VESPERTILIONIDAE	LC	0	0
Myotis velifer	34.5	0.107142857142857	0.0348017447516289	1579.5955	Vespertilionidae	0.0967741935483871	0.903225806451613	CytB	2	16	Chiroptera	67	CHIROPTERA	VESPERTILIONIDAE	LC	0	0
Nanonycteris veldkampii	21	0.25	0.0483201774979873	1553.79087272727	Pteropodidae	0.2	0.8	CytB	1	3	Chiroptera	21	CHIROPTERA	PTEROPODIDAE	LC	0	0
Napaeozapus insignis	48.625	0.0769230769230769	0.0203326375343115	755.61195	Dipodidae	0.0714285714285714	0.928571428571429	CytB	6	115	Rodentia	259	RODENTIA	DIPODIDAE	LC	0	0
Neodon irene	29.3333333333333	0.163636363636364	0.0417918563004698	589.388299099621	Cricetidae	0.140625	0.859375	CytB	2	13	Rodentia	67	RODENTIA	CRICETIDAE	LC	0	0
Neomys fodiens	39	0.032258064516129	0.0170564081358533	576.8888	Soricidae	0.03125	0.96875	CytB	1	28	Eulipotyphla	22	EULIPOTYPHLA	SORICIDAE	LC	0	0
Neophocaena phocaenoides	40	0.3	0.339588572311389	5840	Phocoenidae	0.230769230769231	0.769230769230769	CytB	2	8	Cetartiodactyla	79	CETARTIODACTYLA	PHOCOENIDAE	VU	1	0
Neophocaena phocaenoides	40	0.3	0.339588572311389	6095.5	Phocoenidae	0.230769230769231	0.769230769230769	CytB	2	8	Cetartiodactyla	79	CETARTIODACTYLA	PHOCOENIDAE	VU	1	0
Neotoma albigula	32.25	0.333333333333333	0.0385183013679013	1019.7194	Cricetidae	0.25	0.75	CytB	2	8	Rodentia	67	RODENTIA	CRICETIDAE	LC	0	0
Niviventer andersoni	49.5454545454545	0.154929577464789	0.0852139804053415	639.631831820818	Muridae	0.142857142857143	0.857142857142857	CytB	4	23	Rodentia	183	RODENTIA	MURIDAE	LC	0	0
Niviventer confucianus	35.9	0.0555555555555556	0.0232540725795459	624.399640909091	Muridae	0.0526315789473684	0.947368421052632	CytB	3	52	Rodentia	100	RODENTIA	MURIDAE	LC	0	0
Niviventer excelsior	40.5625	0.13597842835131	0.0628453464273856	639.631831820818	Muridae	0.12	0.88	CytB	7	59	Rodentia	247	RODENTIA	MURIDAE	LC	0	0
Niviventer fulvescens	33.125	0.0869565217391304	0.0175686096823998	624.399640909091	Muridae	0.08	0.92	CytB	8	84	Rodentia	229	RODENTIA	MURIDAE	LC	0	0
Noctilio albiventris	21	0.0333333333333333	0.0685761375235807	1888.06537051282	Noctilionidae	0.032258064516129	0.967741935483871	CytB	1	59	Chiroptera	21	CHIROPTERA	NOCTILIONIDAE	LC	0	0
Noctilio leporinus	103.333333333333	0	0.0676049269509145	1888.06537051282	Noctilionidae	0	1	CytB	0	12	Chiroptera	0	CHIROPTERA	NOCTILIONIDAE	LC	0	0
Nomascus gabriellae	54.5	0.381818181818182	0.12446532416858	5475	Hylobatidae	0.285714285714286	0.714285714285714	CytB	2	6	Primates	116	PRIMATES	HYLOBATIDAE	EN	2	1
Nomascus leucogenys	58	0.333333333333333	0.112528266694402	5475	Hylobatidae	0.25	0.75	CytB	2	3	Primates	79	PRIMATES	HYLOBATIDAE	CR	3	1
Nomascus siki	40.8	0.181878306878307	0.120578478785415	5475	Hylobatidae	0.15625	0.84375	CytB	4	28	Primates	204	PRIMATES	HYLOBATIDAE	EN	2	1
Nyctereutes procyonoides	52	0.333333333333333	0.0334091026353013	2091.936666657	Canidae	0.25	0.75	CytB	4	19	Carnivora	268	CARNIVORA	CANIDAE	LC	0	0
Nycticebus bengalensis	63.5	0.4	0.190446956888112	2555	Lorisidae	0.285714285714286	0.714285714285714	CytB	4	9	Primates	255	PRIMATES	LORISIDAE	VU	1	0
Nycticebus pygmaeus	59.6666666666667	0.4	0.0908967346812481	2920	Lorisidae	0.285714285714286	0.714285714285714	CytB	2	4	Primates	143	PRIMATES	LORISIDAE	VU	1	0
Ochotona collaris	33.3333333333333	0.6	0.0310574939213592	894.25	Ochotonidae	0.375	0.625	CytB	3	6	Lagomorpha	100	LAGOMORPHA	OCHOTONIDAE	LC	0	0
Ochotona curzoniae	51	0.217391304347826	0.0368243498527146	751.47417	Ochotonidae	0.178571428571429	0.821428571428571	CytB	3	18	Lagomorpha	151	LAGOMORPHA	OCHOTONIDAE	LC	0	0
Ochotona hyperborea	22	0.0909090909090909	0.0238688017160092	751.47417	Ochotonidae	0.0833333333333333	0.916666666666667	CytB	2	18	Lagomorpha	44	LAGOMORPHA	OCHOTONIDAE	LC	0	0
Ochotona princeps	44.3333333333333	0.0625	0.023650905134743	1045.7507	Ochotonidae	0.0588235294117647	0.941176470588235	CytB	2	40	Lagomorpha	100	LAGOMORPHA	OCHOTONIDAE	LC	0	0
Ochotona rufescens	35.6269841269841	0.142857142857143	0.0862010671519543	751.47417	Ochotonidae	0.125	0.875	CytB	3	4	Lagomorpha	94	LAGOMORPHA	OCHOTONIDAE	LC	0	0
Ochotona thibetana	35.875	0.166666666666667	0.0272919043747763	854.6685	Ochotonidae	0.142857142857143	0.857142857142857	CytB	7	46	Lagomorpha	275	LAGOMORPHA	OCHOTONIDAE	LC	0	0
Odocoileus virginianus	47.5	0.0833333333333333	0.0290444063723325	2713.883333343	Cervidae	0.0769230769230769	0.923076923076923	CytB	2	23	Cetartiodactyla	95	CETARTIODACTYLA	CERVIDAE	LC	0	0
Ornithorhynchus anatinus	41.3333333333333	0.315789473684211	0.0462421342984469	2878.755	Ornithorhynchidae	0.24	0.76	CytB	3	8	Monotremata	160	MONOTREMATA	ORNITHORHYNCHIDAE	LC	0	0
Ovis ammon	52.375	0.125	0.0942035853148524	2920	Bovidae	0.111111111111111	0.888888888888889	CytB	2	12	Cetartiodactyla	104	CETARTIODACTYLA	BOVIDAE	LC	0	0
Ovis canadensis	62.5	0.333333333333333	0.0292505295306109	2634.501666657	Bovidae	0.285714285714286	0.714285714285714	CytB	2	5	Cetartiodactyla	98	CETARTIODACTYLA	BOVIDAE	LC	0	0
Ovis orientalis	52	0.111111111111111	0.0813201513788716	2920	Bovidae	0.1	0.9	CytB	1	7	Cetartiodactyla	46	CETARTIODACTYLA	BOVIDAE	VU	1	0
Paguma larvata	83.5	0	0.0322864002480206	3014.413333343	Viverridae	0	1	CytB	0	4	Carnivora	0	CARNIVORA	VIVERRIDAE	LC	0	0
Pan paniscus	59.3333333333333	0.875	0.223505279933675	9125	Hominidae	0.466666666666667	0.533333333333333	CytB	5	7	Primates	282	PRIMATES	HOMINIDAE	EN	2	1
Pan troglodytes	51.8	0.333333333333333	0.120189606219526	7300	Hominidae	0.25	0.75	CytB	5	13	Primates	259	PRIMATES	HOMINIDAE	EN	2	1
Panthera leo	51.875	0.5	0.0441550505069636	2190	Felidae	0.333333333333333	0.666666666666667	CytB	4	6	Carnivora	162	CARNIVORA	FELIDAE	VU	1	0
Panthera pardus	51	0.136363636363636	0.0409829054650427	3400.645433343	Felidae	0.12	0.88	CytB	3	21	Carnivora	124	CARNIVORA	FELIDAE	VU	1	0
Panthera tigris	75.1666666666667	0.4	0.0699953735383826	2920	Felidae	0.333333333333333	0.666666666666667	CytB	2	4	Carnivora	105	CARNIVORA	FELIDAE	EN	2	1
Papio anubis	54.5	0.529411764705882	0.212599480892293	3833.595	Cercopithecidae	0.346153846153846	0.653846153846154	CytB	9	15	Primates	433	PRIMATES	CERCOPITHECIDAE	LC	0	0
Papio cynocephalus	54.6527777777778	0.512820512820513	0.164436835302137	6188.575	Cercopithecidae	0.338983050847458	0.661016949152542	CytB	18	39	Primates	999	PRIMATES	CERCOPITHECIDAE	LC	0	0
Papio hamadryas	77.5	0.267857142857143	0.360645094581039	5332.504	Cercopithecidae	0.222222222222222	0.777777777777778	CytB	1	6	Primates	81	PRIMATES	CERCOPITHECIDAE	LC	0	0
Papio ursinus	45.0476190476191	0.452380952380952	0.310498555941349	5714.3305	Cercopithecidae	0.311475409836066	0.688524590163934	CytB	16	40	Primates	759	PRIMATES	CERCOPITHECIDAE	LC	0	0
Paradoxurus hermaphroditus	52.05	0.112698412698413	0.0503573997770873	2807.00376124	Viverridae	0.101282051282051	0.898717948717949	CytB	2	50	Carnivora	91.5	CARNIVORA	VIVERRIDAE	LC	0	0
Pecari tajacu	40.8333333333333	0.185185185185185	0.0788340336058326	3102.921666657	Tayassuidae	0.15625	0.84375	CytB	7	43	Cetartiodactyla	306	CETARTIODACTYLA	TAYASSUIDAE	LC	0	0
Peromyscus guatemalensis	40.3	0.133333333333333	0.0459004278010908	635.280494446056	Cricetidae	0.117647058823529	0.882352941176471	CytB	7	49	Rodentia	283	RODENTIA	CRICETIDAE	LC	0	0
Peromyscus keeni	64	0.183333333333333	0.0448777688910008	635.280494446056	Cricetidae	0.154761904761905	0.845238095238095	CytB	1	7	Rodentia	64	RODENTIA	CRICETIDAE	LC	0	0
Peromyscus maniculatus	36.5	0.158492822966507	0.0529951499096307	940.1262	Cricetidae	0.13680926916221	0.86319073083779	CytB	4.5	44	Rodentia	151.5	RODENTIA	CRICETIDAE	LC	0	0
Peromyscus mexicanus	35.7777777777778	0.113924050632911	0.044278494552597	635.280494446056	Cricetidae	0.102272727272727	0.897727272727273	CytB	8	70	Rodentia	285	RODENTIA	CRICETIDAE	LC	0	0
Peromyscus pectoralis	50.4	0.0615384615384615	0.0362072065862267	635.280494446056	Cricetidae	0.0579710144927536	0.942028985507246	CytB	3	43	Rodentia	83	RODENTIA	CRICETIDAE	LC	0	0
Peromyscus polionotus	21	0.25	0.33697943243142	634.2918	Cricetidae	0.2	0.8	CytB	1	4	Rodentia	21	RODENTIA	CRICETIDAE	LC	0	0
Peromyscus truei	39.85	0.113636363636364	0.0421921976697711	639.38525	Cricetidae	0.102040816326531	0.897959183673469	CytB	5	44	Rodentia	166	RODENTIA	CRICETIDAE	LC	0	0
Petaurista leucogenys	61.6666666666667	0.125	0.0365381729904091	2015.75510185078	Sciuridae	0.111111111111111	0.888888888888889	CytB	2	14	Rodentia	99	RODENTIA	SCIURIDAE	LC	0	0
Phoca largha	24.5	0.5	0.0344846838763877	6935	Phocidae	0.333333333333333	0.666666666666667	CytB	2	3	Carnivora	42	CARNIVORA	PHOCIDAE	LC	0	0
Phoca vitulina	51.6666666666667	0.696969696969697	0.0681086312143763	5413.68	Phocidae	0.444444444444444	0.555555555555556	CytB	3	3	Carnivora	125	CARNIVORA	PHOCIDAE	LC	0	0
Phodopus campbelli	21.5	0.142857142857143	0.0244046432081055	249.2027166715	Cricetidae	0.125	0.875	CytB	2	19	Rodentia	43	RODENTIA	CRICETIDAE	LC	0	0
Phodopus roborovskii	45.325	0.5	0.0357637518556948	550.909	Cricetidae	0.333333333333333	0.666666666666667	CytB	3	4	Rodentia	120	RODENTIA	CRICETIDAE	LC	0	0
Phodopus sungorus	21	0.190909090909091	0.0423231176795493	474.4575	Cricetidae	0.166666666666667	0.833333333333333	CytB	1	9	Rodentia	42	RODENTIA	CRICETIDAE	LC	0	0
Phyllotis xanthopygus	34.85	0.101010101010101	0.0370397106163875	589.388299099621	Cricetidae	0.0917431192660551	0.908256880733945	CytB	7	92	Rodentia	210	RODENTIA	CRICETIDAE	LC	0	0
Pipistrellus abramus	38	0.166666666666667	0.0280982783188663	1885.946275	Vespertilionidae	0.142857142857143	0.857142857142857	CytB	5	32	Chiroptera	170	CHIROPTERA	VESPERTILIONIDAE	LC	0	0
Pipistrellus hesperidus	42.45	0.0722903225806452	0.0295541866914316	1885.946275	Vespertilionidae	0.0676691729323308	0.932330827067669	CytB	3	25	Chiroptera	166	CHIROPTERA	VESPERTILIONIDAE	LC	0	0
Plagiodontia aedium	47.3333333333333	0.259259259259259	0.0634907749462627	3650	Capromyidae	0.205882352941176	0.794117647058823	CytB	8	27	Rodentia	390	RODENTIA	CAPROMYIDAE	EN	2	1
Plecotus macrobullaris	36.25	0.196774193548387	0.0355351239771757	2759.4	Vespertilionidae	0.166666666666667	0.833333333333333	CytB	4	27	Chiroptera	137	CHIROPTERA	VESPERTILIONIDAE	LC	0	0
Presbytis melalophos	55.0079365079365	0.34	0.0673886832266593	3650	Cercopithecidae	0.253731343283582	0.746268656716418	CytB	17	45	Primates	872	PRIMATES	CERCOPITHECIDAE	EN	2	1
Prionailurus bengalensis	40.4	0.113636363636364	0.0318416713823256	2350.842866657	Felidae	0.102040816326531	0.897959183673469	CytB	1	9	Carnivora	81	CARNIVORA	FELIDAE	LC	0	0
Prionailurus viverrinus	58.5166666666667	0.3875	0.049237477276517	2190	Felidae	0.285714285714286	0.714285714285714	CytB	7	9	Carnivora	506	CARNIVORA	FELIDAE	VU	1	0
Procyon lotor	50.7063492063492	0.384615384615385	0.0945956200761294	2703.9188	Procyonidae	0.277777777777778	0.722222222222222	CytB	6	16	Carnivora	340	CARNIVORA	PROCYONIDAE	LC	0	0
Proechimys cuvieri	53.5	0.206896551724138	0.0332212135210837	631.7859833285	Echimyidae	0.171428571428571	0.828571428571429	CytB	4	16	Rodentia	233	RODENTIA	ECHIMYIDAE	LC	0	0
Propithecus diadema	67.6	0.0857142857142857	0.0396417047287401	3650	Indriidae	0.0789473684210526	0.921052631578947	CytB	3	34	Primates	183	PRIMATES	INDRIIDAE	CR	3	1
Pseudois nayaur	57.4285714285714	0.3	0.101683587215717	2949.321666657	Bovidae	0.230769230769231	0.769230769230769	CytB	6	23	Cetartiodactyla	402	CETARTIODACTYLA	BOVIDAE	LC	0	0
Pteromys volans	53.75	0.111111111111111	0.0298091465633502	1384.1212625	Sciuridae	0.1	0.9	CytB	1	11	Rodentia	81	RODENTIA	SCIURIDAE	LC	0	0
Pteronotus davyi	33	0.138888888888889	0.0598162101659011	2070.531028	Mormoopidae	0.121951219512195	0.878048780487805	CytB	7	69	Chiroptera	229	CHIROPTERA	MORMOOPIDAE	LC	0	0
Pteronotus gymnonotus	32	0.3	0.0317486513175437	1888.06537051282	Mormoopidae	0.25	0.75	CytB	2	5	Chiroptera	36	CHIROPTERA	MORMOOPIDAE	LC	0	0
Pteronotus parnellii	49.3055555555556	0.120879120879121	0.0542306912067804	1888.06537051282	Mormoopidae	0.107843137254902	0.892156862745098	CytB	5	71	Chiroptera	232	CHIROPTERA	MORMOOPIDAE	LC	0	0
Pteronotus personatus	59.75	0.181818181818182	0.023656137564852	2070.531028	Mormoopidae	0.153846153846154	0.846153846153846	CytB	4	8	Chiroptera	239	CHIROPTERA	MORMOOPIDAE	LC	0	0
Pteronotus quadridens	70.75	0.0952380952380952	0.0442132189590563	2070.531028	Mormoopidae	0.0869565217391304	0.91304347826087	CytB	1	18	Chiroptera	58	CHIROPTERA	MORMOOPIDAE	LC	0	0
Pteronotus rubiginosus	32	0.9	0.0424546151770651	NA	NA	0.5	0.5	CytB	1	2	NA	46	CHIROPTERA	MORMOOPIDAE	LC	0	0
Pteropus seychellensis	81	0.166666666666667	0.0553952807325924	2945.91840714286	Pteropodidae	0.125	0.875	CytB	0.5	2	Chiroptera	40.5	CHIROPTERA	PTEROPODIDAE	LC	0	0
Rangifer tarandus	29.25	0.125	0	1825	Cervidae	0.111111111111111	0.888888888888889	CytB	1	7	Cetartiodactyla	21	CETARTIODACTYLA	CERVIDAE	VU	1	0
Rattus exulans	22	0.25	0.0205936637882073	534.7590666715	Muridae	0.2	0.8	CytB	2	5	Rodentia	43	RODENTIA	MURIDAE	LC	0	0
Rattus rattus	34.5	0.105263157894737	0.0216741621411697	546.1994	Muridae	0.0952380952380952	0.904761904761905	CytB	3	29.5	Rodentia	114	RODENTIA	MURIDAE	LC	0	0
Rattus tanezumi	21.5	0.21875	0.103365247725327	534.7590666715	Muridae	0.179487179487179	0.82051282051282	CytB	2	12	Rodentia	63	RODENTIA	MURIDAE	LC	0	0
Reithrodontomys fulvescens	52.5555555555556	0.0978260869565217	0.039753357773039	202.795	Cricetidae	0.0891089108910891	0.910891089108911	CytB	4	34	Rodentia	220	RODENTIA	CRICETIDAE	LC	0	0
Reithrodontomys mexicanus	31.5714285714286	0.10655737704918	0.0415326430946301	202.795	Cricetidae	0.0962962962962963	0.903703703703704	CytB	7	116	Rodentia	267	RODENTIA	CRICETIDAE	LC	0	0
Reithrodontomys sumichrasti	21	0.0740740740740741	0.0516889598878394	202.795	Cricetidae	0.0689655172413793	0.931034482758621	CytB	1	22	Rodentia	21	RODENTIA	CRICETIDAE	LC	0	0
Rhinolophus affinis	51.4166666666667	0.206896551724138	0.0573343558314294	2726.53565	Rhinolophidae	0.181818181818182	0.818181818181818	CytB	5	26	Chiroptera	218	CHIROPTERA	RHINOLOPHIDAE	LC	0	0
Rhinolophus arcuatus	58	0.0697674418604651	0.0278671887768583	2937.38135	Rhinolophidae	0.0652173913043478	0.934782608695652	CytB	1	9	Chiroptera	58	CHIROPTERA	RHINOLOPHIDAE	LC	0	0
Rhinolophus clivosus	22	0.04	0.0492704820051426	2726.53565	Rhinolophidae	0.0384615384615385	0.961538461538462	CytB	2	49	Chiroptera	43	CHIROPTERA	RHINOLOPHIDAE	LC	0	0
Rhinolophus macrotis	26.2	0.114285714285714	0.0527623561530151	2937.38135	Rhinolophidae	0.102564102564103	0.897435897435897	CytB	3	30	Chiroptera	67	CHIROPTERA	RHINOLOPHIDAE	LC	0	0
Rhinolophus pearsonii	43.8	0.111111111111111	0.0336891729398501	2726.53565	Rhinolophidae	0.1	0.9	CytB	6	48	Chiroptera	268	CHIROPTERA	RHINOLOPHIDAE	LC	0	0
Rhinolophus pusillus	21	0.222222222222222	0.0251214323880593	2937.38135	Rhinolophidae	0.181818181818182	0.818181818181818	CytB	2	8	Chiroptera	63	CHIROPTERA	RHINOLOPHIDAE	LC	0	0
Rhinolophus rouxii	54.5	0.0789473684210526	0.0490684277303833	1051.1426	Rhinolophidae	0.0740740740740741	0.925925925925926	CytB	3	4	Chiroptera	233	CHIROPTERA	RHINOLOPHIDAE	LC	0	0
Rousettus aegyptiacus	32.6666666666667	0.166666666666667	0.0371204147634854	1825	Pteropodidae	0.142857142857143	0.857142857142857	CytB	3	15	Chiroptera	98	CHIROPTERA	PTEROPODIDAE	LC	0	0
Rousettus leschenaultii	21	0.125	0.0133083633142712	1679.8551	Pteropodidae	0.111111111111111	0.888888888888889	CytB	1	7	Chiroptera	21	CHIROPTERA	PTEROPODIDAE	LC	0	0
Rousettus madagascariensis	21	0.166666666666667	0.19428984267928	1825	Pteropodidae	0.142857142857143	0.857142857142857	CytB	1	6	Chiroptera	21	CHIROPTERA	PTEROPODIDAE	VU	1	0
Saimiri boliviensis	58	0.363636363636364	0.0838550573057492	3354.65875	Cebidae	0.266666666666667	0.733333333333333	CytB	2	7	Primates	139	PRIMATES	CEBIDAE	LC	0	0
Saimiri sciureus	64.4444444444444	0.147058823529412	0.368897188825541	3789.3175	Cebidae	0.128205128205128	0.871794871794872	CytB	5	32	Primates	305	PRIMATES	CEBIDAE	LC	0	0
Sapajus apella	58	0.222222222222222	0.141360638240702	NA	NA	0.181818181818182	0.818181818181818	CytB	1	6	NA	81	PRIMATES	CEBIDAE	LC	0	0
Sciurus lis	91.5	0	0.00639562706709375	2122.20083333333	Sciuridae	0	1	CytB	0	4	Rodentia	0	RODENTIA	SCIURIDAE	LC	0	0
Sciurus vulgaris	58	0	0.0133134629461078	1612.7525	Sciuridae	0	1	CytB	0	4	Rodentia	0	RODENTIA	SCIURIDAE	LC	0	0
Semnopithecus entellus	55.925	0.333333333333333	0.0761866287956929	3806.439	Cercopithecidae	0.25	0.75	CytB	21	59	Primates	1169	PRIMATES	CERCOPITHECIDAE	LC	0	0
Sorex araneus	58.6666666666667	0	0.0106190537867833	524.7815	Soricidae	0	1	CytB	0	6	Eulipotyphla	0	EULIPOTYPHLA	SORICIDAE	LC	0	0
Sorex asper	28	0	0.0167855840360926	422.884597917875	Soricidae	0	1	CytB	0	4	Eulipotyphla	0	EULIPOTYPHLA	SORICIDAE	LC	0	0
Sorex caecutiens	23.75	0.2	0.011297391979739	422.884597917875	Soricidae	0.166666666666667	0.833333333333333	CytB	3	8	Eulipotyphla	80	EULIPOTYPHLA	SORICIDAE	LC	0	0
Sorex cinereus	21	0.0566037735849057	0.0193951958346243	331.5827166715	Soricidae	0.0535714285714286	0.946428571428571	CytB	2	26	Eulipotyphla	42	EULIPOTYPHLA	SORICIDAE	LC	0	0
Sorex cylindricauda	56	0.0563492063492063	0.0210511650597436	422.884597917875	Soricidae	0.0540540540540541	0.945945945945946	CytB	2	35	Eulipotyphla	164	EULIPOTYPHLA	SORICIDAE	LC	0	0
Sorex minutissimus	21	0	0.0123106292711708	422.884597917875	Soricidae	0	1	CytB	0	14	Eulipotyphla	0	EULIPOTYPHLA	SORICIDAE	LC	0	0
Sorex monticolus	22	0.166666666666667	0.0267872896060281	422.884597917875	Soricidae	0.142857142857143	0.857142857142857	CytB	1	6	Eulipotyphla	22	EULIPOTYPHLA	SORICIDAE	LC	0	0
Sorex palustris	72.5	0	0.048611192307071	273.1928	Soricidae	0	1	CytB	0	4	Eulipotyphla	0	EULIPOTYPHLA	SORICIDAE	LC	0	0
Sorex tundrensis	47.5	0	0.0107754609075336	422.884597917875	Soricidae	0	1	CytB	0	13	Eulipotyphla	0	EULIPOTYPHLA	SORICIDAE	LC	0	0
Sorex ugyunak	31.75	0	0.0222149139888973	422.884597917875	Soricidae	0	1	CytB	0	3	Eulipotyphla	0	EULIPOTYPHLA	SORICIDAE	LC	0	0
Sorex unguiculatus	21	0.0476190476190476	0.0155532199643504	392.4667	Soricidae	0.0454545454545455	0.954545454545455	CytB	1	17	Eulipotyphla	21	EULIPOTYPHLA	SORICIDAE	LC	0	0
Stenella attenuata	58	0	0.0771069514148979	8395	Delphinidae	0	1	CytB	0	17	Cetartiodactyla	0	CETARTIODACTYLA	DELPHINIDAE	LC	0	0
Stenella coeruleoalba	57	0	0	7926.62525	Delphinidae	0	1	CytB	0	7	Cetartiodactyla	0	CETARTIODACTYLA	DELPHINIDAE	LC	0	0
Stenella longirostris	34	0.133333333333333	0.0347439185371906	8395	Delphinidae	0.117647058823529	0.882352941176471	CytB	2	4	Cetartiodactyla	67	CETARTIODACTYLA	DELPHINIDAE	LC	0	0
Sturnira lilium	36.6666666666667	0.142857142857143	0.0259427699605949	2064.27635	Phyllostomidae	0.125	0.875	CytB	3	17	Chiroptera	139	CHIROPTERA	PHYLLOSTOMIDAE	LC	0	0
Sturnira parvidens	21	0	0.0312664044308174	NA	NA	0	1	CytB	0	4	NA	0	CHIROPTERA	PHYLLOSTOMIDAE	LC	0	0
Sturnira tildae	58	0.25	0.0279144084352728	2064.27635	Phyllostomidae	0.2	0.8	CytB	1	5	Chiroptera	65	CHIROPTERA	PHYLLOSTOMIDAE	LC	0	0
Suncus murinus	54.7117647058824	0.333333333333333	0.0215325918123886	363.52745	Soricidae	0.275	0.725	CytB	8	10	Eulipotyphla	285	EULIPOTYPHLA	SORICIDAE	LC	0	0
Sus barbatus	44.8333333333333	0.455533596837945	0.0786009343008483	2555	Suidae	0.313432835820896	0.686567164179104	CytB	3	4	Cetartiodactyla	102	CETARTIODACTYLA	SUIDAE	VU	1	0
Sus scrofa	56	0.272727272727273	0.0325025510953628	2656.07	Suidae	0.224789915966387	0.775210084033613	CytB	2	9	Cetartiodactyla	81	CETARTIODACTYLA	SUIDAE	LC	0	0
Symphalangus syndactylus	53.7	0.5	0.0795279588229814	4745	Hylobatidae	0.333333333333333	0.666666666666667	CytB	3	6	Primates	174	PRIMATES	HYLOBATIDAE	EN	2	1
Talpa europaea	44.9090909090909	0.0769230769230769	0.0264147877796264	1000.1	Talpidae	0.0714285714285714	0.928571428571429	CytB	1	21	Eulipotyphla	21	EULIPOTYPHLA	TALPIDAE	LC	0	0
Talpa romana	65.35	0.190909090909091	0.0233744080304887	1000.1	Talpidae	0.166666666666667	0.833333333333333	CytB	2	15	Eulipotyphla	155	EULIPOTYPHLA	TALPIDAE	LC	0	0
Tamiops maritimus	41.5	0.102803738317757	0.022087492992695	1239.29886944283	Sciuridae	0.0932203389830508	0.906779661016949	CytB	8	102	Rodentia	332	RODENTIA	SCIURIDAE	LC	0	0
Tarsius dentatus	46.7916666666667	0.170731707317073	0.0522640533954593	2190	Tarsiidae	0.148936170212766	0.851063829787234	CytB	4	31	Primates	187	PRIMATES	TARSIIDAE	VU	1	0
Thylacinus cynocephalus	21	0	0.0287456240802567	NA	NA	0	1	CytB	0	11	NA	0	DASYUROMORPHIA	THYLACINIDAE	EX	4	1
Thylamys elegans	49.125	0.0535714285714286	0.0183348722371404	642.840025	Didelphidae	0.0508474576271186	0.949152542372881	CytB	2	52	Didelphimorphia	81	DIDELPHIMORPHIA	DIDELPHIDAE	LC	0	0
