Species	AverageGrantham	SummOfAllGrantham	KnKs	MedianOfAllSyn	MedianOfAllNonsyn	FractionOfSyn	FractionOfNonsyn	GenerationLength_d	category
Martes zibellina	46	46	0.2	5	1	0.833333333333333	0.166666666666667	2087.381433343	LC
Megaloglossus woermanni	61.6666666666667	127	0.236111111111111	9	2	0.8	0.2	1553.79087272727	LC
Meles meles	49.3125	446	0.225352112676056	45	8	0.816091954022989	0.183908045977011	2161.2481	LC
Meriones libycus	57	170	0.552777777777778	9	3	0.642857142857143	0.357142857142857	649.48035	LC
Meriones meridianus	40.9513888888889	295	0.09	88	7	0.917431192660551	0.0825688073394495	608.148016666667	LC
Meriones tamariscinus	58	81	0.0555555555555556	27	1	0.947368421052632	0.0526315789473684	608.148016666667	LC
Mesoplodon densirostris	50.6	21	0.0215078630897317	11	1	0.972972972972973	0.027027027027027	6460.5	DD
Mesoplodon europaeus	51.5	81	0.2	4	1	0.816666666666667	0.183333333333333	6460.5	DD
Microcebus griseorufus	45	58	0.25	5	1	0.8	0.2	2053.5145	LC
Microcebus lehilahytsara	51.5	21	0.0588235294117647	13	1	0.944444444444444	0.0555555555555556	2053.5145	VU
Microcebus mittermeieri	106.5	155	0.11437908496732	13	1	0.894736842105263	0.105263157894737	2053.5145	EN
Microcebus murinus	54.8	113	0.131578947368421	10	2	0.88047619047619	0.11952380952381	2053.5145	LC
Microcebus myoxinus	60.75	81	0.25	6	1	0.8	0.2	2053.5145	VU
Microcebus rufus	57	152	0.117647058823529	19	2	0.894736842105263	0.105263157894737	2053.5145	VU
Microcebus simmonsi	22	0	0	3	0	1	0	2053.5145	EN
Micromys minutus	22.5	64	0.230769230769231	11	2	0.8	0.2	502.66	LC
Micronycteris megalotis	50.375	174	0.087719298245614	47	4	0.919354838709677	0.0806451612903226	2064.27635	LC
Micropteropus pusillus	46.8333333333333	104	0.0545454545454545	15	1	0.948275862068966	0.0517241379310345	1553.79087272727	LC
Microtus agrestis	33.1388888888889	157	0.140625	37	5	0.876712328767123	0.123287671232877	465.9675	LC
Microtus arvalis	63.75	58	0.0333333333333333	26	1	0.967741935483871	0.032258064516129	447.605	LC
Microtus limnophilus	44.25	177	0.285714285714286	13	4	0.777777777777778	0.222222222222222	373.623802083937	LC
Microtus longicaudus	21	36	0.0784615384615385	19	1	0.925925925925926	0.0740740740740741	373.623802083937	LC
Microtus lusitanicus	21	63	0.111111111111111	35	3	0.9	0.1	373.623802083937	LC
Microtus miurus	21	21	0.0909090909090909	10	1	0.916666666666667	0.0833333333333333	373.623802083937	LC
Microtus subterraneus	49.3333333333333	100	0.05	41	2	0.952380952380952	0.0476190476190476	373.623802083937	LC
Miniopterus schreibersii	53.3	291	0.216718713856118	24	7	0.819028797289667	0.180971202710333	1995.6986	NT
Mogera imaizumii	27.75	21	0.0303030303030303	32	1	0.970588235294118	0.0294117647058824	759.185721428571	LC
Mogera robusta	51	21	0.142857142857143	3	1	0.857142857142857	0.142857142857143	759.185721428571	LC
Mogera wogura	45.6666666666667	193	0.102040816326531	48	4	0.907407407407407	0.0925925925925926	759.185721428571	LC
Monodelphis americana	32.3333333333333	149.5	0.0740740740740741	56.5	4	0.931034482758621	0.0689655172413793	717.0425	LC
Monodelphis domestica	49	187	0.113636363636364	40	4	0.897959183673469	0.102040816326531	717.0425	LC
Monodelphis glirina	48.6477272727273	302	0.120879120879121	57	7	0.892156862745098	0.107843137254902	717.0425	LC
Mungotictis decemlineata	34	43	0.181818181818182	6	1	0.84412955465587	0.15587044534413	2146.94685	EN
Mus caroli	43	79	0.0606060606060606	25	2	0.942857142857143	0.0571428571428571	628.295	LC
Mus minutoides	30.9666666666667	180	0.11864406779661	51	6	0.893939393939394	0.106060606060606	435.665	LC
