Species	AverageGrantham	SummOfAllGrantham	KnKs	MedianOfAllSyn	MedianOfAllNonsyn	FractionOfSyn	FractionOfNonsyn	AdultBodyMass_g	GenerationLength_d	category
211	Catharus guttatus	68	58	0.037037037037037	22	1	0.964285714285714	0.0357142857142857	NA	NA	LC
212	Catharus minimus	56.5	56	0.5	2	1	0.666666666666667	0.333333333333333	NA	NA	LC
213	Catharus ustulatus	58	58	0.0588235294117647	14	1	0.944444444444444	0.0555555555555556	NA	NA	LC
214	Cathorops mapale	81	0	0	3	0	1	0	NA	NA	NA
215	Cathorops wayuu	40	58	0.5	2	1	0.666666666666667	0.333333333333333	NA	NA	NA
216	Catopuma temminckii	53.3333333333333	0	0	4	0	1	0	NA	NA	NT
217	Cavia aperea	45.6666666666667	151	0.142857142857143	29	4	0.875	0.125	524.38	763.4281	LC
218	Cavia porcellus	71.1333333333334	366	0.625	8	5	0.615384615384615	0.384615384615385	NA	NA	NA
219	Cebus capucinus	50	150	0.175925925925926	23	3	0.84375	0.15625	3005.99	6794.84	NA
220	Centromochlus existimatus	42.5263157894737	704	0.34	51	17	0.742857142857143	0.257142857142857	NA	NA	NA
221	Cercococcyx montanus	34.75	101	0.666666666666667	3	3	0.585714285714286	0.414285714285714	NA	NA	LC
222	Cercopithecus albogularis	58.6666666666667	321.5	0.354248366013072	16.5	6	0.736345580933466	0.263654419066534	NA	NA	NA
223	Certhia americana	46.4285714285714	246	0.160028449502134	38	6	0.86046511627907	0.13953488372093	NA	NA	LC
224	Certhia familiaris	83	143	0.107142857142857	10	1	0.903225806451613	0.0967741935483871	NA	NA	LC
225	Cervus elaphus	35.7083333333333	111	0.2	16	3	0.833333333333333	0.166666666666667	240867.1	5209.4516	LC
226	Ceyx lepidus	53.2	523	0.22	48	10	0.819672131147541	0.180327868852459	NA	NA	LC
227	Chaenocephalus aceratus	22	22	0.5	1	1	0.6	0.4	NA	NA	NA
228	Chaenodraco wilsoni	21	21	0.30952380952381	3	1	0.75	0.25	NA	NA	NA
229	Chaenogobius annularis	46.1833333333334	0	0	37	0	1	0	NA	NA	NA
230	Chaetodipus intermedius	38.5	100	0.230769230769231	10	3	0.8125	0.1875	14.94	987.63075	LC
